stock_id,r_squared,valid_count,invalid_count,incomplete_count
000735.SZ,0.1202,35233,75,18
000736.SZ,0.2710,7542,1883,3
000738.SZ,0.1749,32449,125,7
000739.SZ,0.3211,16150,817,8
000750.SZ,0.1489,23056,146,11
000751.SZ,0.0734,6197,1623,6
000753.SZ,-0.0648,3613,1887,5
000755.SZ,nan,0,477,1
000756.SZ,0.1617,12599,1434,7
000757.SZ,0.0403,8660,1299,4
000758.SZ,0.1851,17767,428,5
000759.SZ,-0.1077,4372,2047,3
000761.SZ,0.2639,3109,1855,3
000762.SZ,0.1401,17410,687,9
000766.SZ,0.0565,6206,1849,3
000767.SZ,0.1279,3068,1906,3
000768.SZ,0.1340,27682,136,6
000776.SZ,0.1481,21004,166,8
000777.SZ,0.0811,22443,466,11
000778.SZ,0.3100,9738,1266,5
000779.SZ,0.1449,2973,2125,2
000782.SZ,-0.0790,1428,1650,3
000783.SZ,0.1531,18782,297,5
000785.SZ,0.0411,11554,1854,5
000786.SZ,0.1412,21665,312,6
000788.SZ,0.0785,10195,1508,3
000789.SZ,0.0980,27308,131,17
000790.SZ,0.1471,8272,1536,7
000791.SZ,0.0192,4941,1682,4
000793.SZ,0.2236,9739,987,6
000795.SZ,0.1668,19710,246,6
000796.SZ,0.0641,21672,416,12
000797.SZ,0.4246,3943,2039,2
000798.SZ,0.0035,12902,954,10
000799.SZ,0.1579,48518,18,15
000800.SZ,0.2393,19092,508,8
000801.SZ,0.1000,9005,1702,3
000802.SZ,0.1414,16023,586,9
000807.SZ,0.2324,32551,144,10
000809.SZ,0.0581,1426,1773,1
000810.SZ,0.1435,11651,1207,5
000811.SZ,0.3040,6601,2199,4
000812.SZ,0.3940,7439,1811,3
000813.SZ,0.0873,5910,1868,4
000815.SZ,0.0869,14174,1523,3
000818.SZ,0.1439,32499,132,11
000819.SZ,0.1886,3958,2074,3
000821.SZ,-0.0578,10437,1034,11
000822.SZ,0.0035,8487,1386,5
000823.SZ,0.1849,13417,1194,8
000825.SZ,0.2500,9871,1150,9
000826.SZ,0.1771,8058,1676,6
000828.SZ,-0.0261,18539,493,5
000829.SZ,0.1127,12419,962,6
000830.SZ,0.2449,21765,542,5
000831.SZ,0.1106,28689,149,14
000833.SZ,0.0147,3055,1905,6
000835.SZ,-0.0638,1238,1621,3
000836.SZ,0.1193,7651,1374,4
000838.SZ,0.0955,2597,1939,4
000839.SZ,0.2282,9790,1059,4
000848.SZ,0.2710,11610,1214,6
000850.SZ,0.1438,6568,1890,4
000851.SZ,0.0570,12248,827,8
000852.SZ,0.1760,2758,2029,5
000856.SZ,-0.0607,11916,1017,8
000858.SZ,0.0525,44368,18,16
000859.SZ,0.1206,14787,1059,14
000860.SZ,0.1155,23165,306,11
000861.SZ,0.0430,8452,1364,11
000862.SZ,0.2335,6819,1680,4
000863.SZ,0.1061,6305,1912,4
000869.SZ,0.1693,7028,1802,3
000875.SZ,0.2182,19033,539,6
000876.SZ,0.1302,29252,110,8
000877.SZ,0.1182,12390,37844,1
000878.SZ,0.2573,26189,225,9
000880.SZ,-0.0905,3718,1947,3
000881.SZ,0.1851,10497,1593,6
000882.SZ,-0.1522,6712,1775,4
000883.SZ,0.1295,5200,1831,3
000885.SZ,nan,0,473,1
000886.SZ,-0.0048,463,19486,1
000887.SZ,0.2544,28249,540,6
000888.SZ,-0.0772,3850,1988,4
000889.SZ,0.1086,9053,1489,5
000892.SZ,0.1745,4728,1934,4
000893.SZ,0.0688,10038,1823,3
000895.SZ,0.1043,48461,27,11
